team,total_experience,total_salary,total_points3,total_points2,total_points1,total_points,total_off_rebounds,total_def_rebounds,total_assists,total_steals,total_blocks,total_turnovers,total_fouls,total_efficiency
ATL,102,93.41,660,2337,1453,8107,832,2676,1846,645,381,1201,1432,8.659547342919549
BOS,65,91.92,985,2183,1536,8857,744,2698,2069,617,340,1037,1686,9.882631405051477
BRK,72,76.22,777,2040,1444,7855,689,2697,1664,568,382,1212,1620,8.791226787033118
CHI,61,92.5,565,2162,1330,7349,865,2419,1746,605,339,956,1275,8.69361105689916
CHO,65,88.5,808,2089,1497,8099,621,2615,1806,543,316,820,1177,8.843870256088778
CLE,147,127.25,1030,2148,1384,8770,735,2673,1779,483,304,1020,1356,10.115586928671092
DAL,67,92.83,712,1754,1007,6651,521,2063,1183,507,257,674,1229,8.035124383628679
DEN,85,79.03,868,2351,1477,8783,872,2660,2015,543,286,1102,1475,10.132028371491266
DET,57,103.07,631,2638,1140,8309,908,2838,1732,574,310,932,1467,9.09392792805173
GSW,115,100.24,982,2545,1455,9491,770,2869,2486,782,554,1179,1581,10.958652388464749
HOU,72,87.39,1140,2011,1623,9065,857,2608,1969,617,331,1113,1473,11.806054593055855
IND,97,92.62,709,2512,1467,8618,742,2702,1844,669,409,1087,1597,9.294632153895856
LAC,126,114.78,841,2401,1586,8911,738,2790,1848,612,347,1022,1626,9.804914509864755
LAL,67,85.13,582,2069,1021,6905,789,2213,1334,510,267,972,1444,9.38971890016586
MEM,92,108.95,757,2176,1489,8112,880,2582,1725,629,335,993,1798,9.222081153833203
MIA,65,72.94,799,2349,1217,8312,856,2648,1728,579,464,1019,1647,10.870448555101783
MIL,85,104.65,720,2462,1413,8497,723,2589,1984,666,436,1096,1660,8.486579085214405
MIN,50,59.88,599,2607,1580,8591,932,2516,1924,641,368,1085,1620,10.055581950820473
NOP,80,94.04,519,1956,1128,6597,580,2248,1531,502,380,828,1168,10.947885678863976
NYK,61,97.11,636,2445,1262,8060,962,2592,1499,526,451,975,1584,9.594347050818822
OKC,57,86.98,611,2380,1511,8104,936,2628,1610,595,395,1133,1561,9.794545821867104
ORL,64,104.11,618,2178,1232,7442,707,2452,1760,546,305,987,1445,7.396878045340882
PHI,41,56.29,718,1960,1225,7299,690,2354,1816,613,375,1197,1573,10.173800426116062
PHO,75,73.28,569,2554,1615,8430,882,2464,1531,588,385,1171,1887,8.77850882794814
POR,45,102.49,847,2148,1386,8223,706,2428,1508,522,342,978,1581,10.907364681118038
SAC,79,88.28,562,1838,998,6360,525,1876,1402,506,232,850,1303,9.739041444212834
SAS,101,105.4,753,2469,1440,8637,821,2777,1954,655,484,1057,1498,9.356520722000303
TOR,59,108.46,626,2359,1570,8166,847,2535,1469,620,379,932,1609,10.583708505970138
UTA,73,80.32,791,2242,1401,8258,771,2774,1651,550,410,1060,1545,9.72037076963852
WAS,59,100.79,718,2526,1368,8574,806,2564,1893,655,325,1062,1643,9.853673539932815
